lecturer_id,course_id
928996,ITDB3007
903368,ITJA2010
995133,ITWD3010
949141,ITDS4020
907949,ITOS3010
924046,ITCN4030
917171,ITDB4010
970151,ITSE5010
956216,ITAI6010
920954,ITML6015
980074,ITCG4010
949701,ITHC4010
911873,ITCA4010
945027,ITIS5010
915544,ITBD6010
993091,ITCC5010
906850,ITBC6010
982946,ITCV6010
989699,ITNL6010
925745,ITDM5010
901589,ITDW5010
969796,ITIR5010
925354,ITIO6010
991909,ITNS5010
949429,ITMA5010
971147,ITPL4010
930714,ITCD5010
966004,ITCF6010
913676,ITES5010
950344,ITPC6010
946832,ITDS6010
981117,ITCS6010
997114,ITCE4010
932112,ITMS4010
986417,ITCG4015
968302,ITSC6010
970908,ITUC6010
982458,ITVM5010
991256,ITWS5010
952659,ITAP5010
928484,ITDI6010
934839,ELEN3003
940322,ITDS5010
960234,ITHR6010
925268,ITIC6010
901911,ITMP6010
937406,ITMC6010
901358,ITNP5010
984252,ITRT5010
992016,ITRA6010
945967,ITWC5010
985351,ITWS6010
994721,ITWN5010
980625,ITCC6010
936387,ITCC6015
927187,ITCC6020
960256,ITCC6025
954962,ITCI6010
941684,ITAS5010
972715,ITCN5010
943858,BIOL1001
946093,BIOL1011
963028,BIOL1021
942363,BIOL2021
971025,BIOL3011
966616,BIOL3021
940480,BIOL3031
907012,BIOL4011
908362,BIOL4021
921352,BIOL4031
980938,BIOL4041
971629,BIOL4051
977210,BIOL4061
924887,BIOL4071
983381,BIOL4081
958146,BIOL4091
957736,BIOL4101
992540,BIOL4111
938231,BIOL4121
920230,BIOL4131
922528,BIOL4141
906352,BIOL4151
970178,BIOL4161
974904,BIOL4171
986209,BIOL4181
922932,BIOL4191
931768,BIOL4201
979637,BIOL4211
952639,BIOL4221
900115,BIOL4231
967885,BIOL4241
979378,BIOL4251
983713,BIOL4261
945740,BIOL4271
962463,BIOL4281
928073,BIOL4291
965293,BIOL4301
991519,BIOL4311
949043,BIOL4321
990075,BIOL4331
980520,BIOL4341
990468,BIOL4351
969125,BIOL4361
905486,BIOL4371
973895,BIOL4381
947279,BIOL4391
995406,BIOL4401
902234,BIOL4411
932542,BIOL4421
955657,BIOL4431
936396,BIOL4441
966989,BIOL4451
909475,BIOL4461
959468,BIOL4471
915318,BIOL4481
954043,BIOL4491
982573,BIOL4501
902663,BIOL4511
914229,BIOL4521
952149,BIOL4531
989806,BIOL4541
926693,BIOL4551
953439,CHEM1001
972468,CHEM1101
964712,CHEM1201
940236,CHEM2101
997309,CHEM2201
944088,CHEM3101
965587,CHEM3201
954106,CHEM3301
951501,CHEM3401
987921,CHEM4101
958869,CHEM4201
979822,CHEM4301
904053,CHEM4401
969233,CHEM4501
927051,CHEM4601
991936,CHEM4701
996311,CHEM4801
940632,CHEM4901
928574,CHEM5001
964545,CHEM5101
911223,CHEM5201
947310,CHEM5301
988637,CHEM5401
957673,MEEN2002
921493,CHEM5601
961317,CHEM5701
980477,CHEM5801
929040,CHEM5901
968302,MATH4040
986209,CHEM7501
982458,MATH4075
927051,ARCH7007
979378,ARCH2002
997114,MATH2010
929040,CEEN8008
969233,MATH1010
915544,ARCH1001
981117,MEEN3003
914229,CHEM6801
928484,ELEN7007
984252,ELEN8008
991936,MATH4020
946832,MATH4055
960256,MATH4010
980074,CEEN2002
928996,ARCH8008
963028,ARCH6006
950344,ELEN2002
913676,MATH4030
913676,CHEM6601
997114,CHEM7401
927187,CHEM7101
908362,MATH4035
936396,MATH1030
957673,CEEN7007
989699,CHEM7001
971147,CHEM7301
992016,MEEN4004
940236,MATH4025
950344,MATH3020
942363,MEEN5005
957673,CHEM6201
992540,CEEN5005
920954,MATH4065
980477,CEEN3003
946832,CEEN6006
982573,ARCH3003
965587,MATH3010
982458,CHEM6101
920954,MATH3025
903368,CHEM7601
952149,CHEM7201
900115,MEEN8008
911223,CHEM6701
972715,CHEM6301
945967,MEEN1001
906352,CEEN1001
906352,CHEM6901
992016,MATH3015
995406,MATH1020
980477,MATH4045
902663,CHEM6401
969796,CHEM6501
980074,CEEN4004
980625,ELEN5005
992540,ARCH5005
942363,MEEN7007
954043,MATH2015
993091,ARCH4004
990468,ELEN4004
908362,CHEM6001
960256,ELEN1001
964712,ELEN6006
944088,MATH2020
903368,MEEN6006
