section_id,course_id,content_name,content_file
1,ARCH1001,References for Topic 1,References for Topic 1.html
1,ARCH1001,Limitations on Topic 1,Limitations on Topic 1.doc
1,ARCH1001,Data Collection based on Topic 1,Data Collection based on Topic 1.pdf
1,ARCH1001,Conclusion on Topic 1,Conclusion on Topic 1.pptx
1,ARCH1001,Recommendations to Topic 1,Recommendations to Topic 1.docx
1,ARCH1001,Assumptions to be made in regards to Topic 1,Assumptions to be made in regards to Topic 1.flac
2,ARCH1001,Introduction to Topic 2,Introduction to Topic 2.wav
2,ARCH1001,Overview on Topic 2,Overview on Topic 2.html
2,ARCH1001,Experimental Setup for Topic 2,Experimental Setup for Topic 2.docx
2,ARCH1001,Introduction to Topic 2,Introduction to Topic 2.docx
2,ARCH1001,Findings about Topic 2,Findings about Topic 2.wav
2,ARCH1001,References on Topic 2,References on Topic 2.xls
3,ARCH1001,Objectives for Topic 3,Objectives for Topic 3.mp3
3,ARCH1001,References for Topic 3,References for Topic 3.doc
3,ARCH1001,Future Directions to Topic 3,Future Directions to Topic 3.xml
3,ARCH1001,Recommendations to Topic 3,Recommendations to Topic 3.pptx
3,ARCH1001,Results from Topic 3,Results from Topic 3.jpg
3,ARCH1001,Literature Review from Topic 3,Literature Review from Topic 3.pdf
4,ARCH1001,Results from Topic 4,Results from Topic 4.pdf
4,ARCH1001,Limitations on Topic 4,Limitations on Topic 4.flac
4,ARCH1001,Research Questions to assist onTopic 4,Research Questions to assist onTopic 4.xls
4,ARCH1001,Data Analysis in the findings of Topic 4,Data Analysis in the findings of Topic 4.doc
4,ARCH1001,Experimental Setup for Topic 4,Experimental Setup for Topic 4.svg
4,ARCH1001,Objectives for Topic 4,Objectives for Topic 4.xls
5,ARCH1001,Overview on Topic 5,Overview on Topic 5.ppt
5,ARCH1001,Results from Topic 5,Results from Topic 5.doc
5,ARCH1001,Research Questions to assist onTopic 5,Research Questions to assist onTopic 5.pdf
5,ARCH1001,Limitations on Topic 5,Limitations on Topic 5.pdf
5,ARCH1001,Overview on Topic 5,Overview on Topic 5.docx
5,ARCH1001,Future Directions to Topic 5,Future Directions to Topic 5.ppt
6,ARCH1001,Future Directions to Topic 6,Future Directions to Topic 6.txt
6,ARCH1001,Background Information on Topic 6,Background Information on Topic 6.docx
6,ARCH1001,Assumptions to be made in regards to Topic 6,Assumptions to be made in regards to Topic 6.xls
6,ARCH1001,Objectives for Topic 6,Objectives for Topic 6.html
6,ARCH1001,Overview on Topic 6,Overview on Topic 6.flac
6,ARCH1001,Literature Review from Topic 6,Literature Review from Topic 6.wav
1,ARCH2002,References on Topic 1,References on Topic 1.pdf
1,ARCH2002,Data Analysis in the findings of Topic 1,Data Analysis in the findings of Topic 1.xls
1,ARCH2002,References on Topic 1,References on Topic 1.txt
2,ARCH2002,Assumptions to be made in regards to Topic 2,Assumptions to be made in regards to Topic 2.ppt
2,ARCH2002,Scope of Topic 2,Scope of Topic 2.xml
2,ARCH2002,References for Topic 2,References for Topic 2.jpg
